node,lng,lat
0,116.3894407,39.9062721
1,116.3930703,39.906394
2,116.3970962,39.9065222
3,116.3898158,39.8987502
4,116.3934609,39.8988716
5,116.3855782,39.9019869
6,116.3855622,39.8989751
7,116.3867923,39.8990026
8,116.3818619,39.8988605
9,116.3779918,39.8987474
10,116.3766593,39.9058516
11,116.3778503,39.9005436
12,116.3777633,39.9029395
13,116.3816138,39.9024289
14,116.3817558,39.900629
15,116.4004073,39.9066074
16,116.4117218,39.9069468
17,116.4052788,39.9067581
18,116.4118329,39.9048304
19,116.3192982,39.9096927
20,116.3285234,39.9098111
21,116.3475698,39.9585296
22,116.3471527,39.9638588
23,116.3473067,39.9671179
24,116.3467706,39.9665107
25,116.3638695,39.966728
26,116.315387,39.9062149
27,116.3150712,39.9062164
28,116.3107059,39.9062558
29,116.3227946,39.9096329
30,116.3639092,39.9662639
31,116.3285085,39.9169027
32,116.3388295,39.9170486
33,116.3471769,39.9170618
34,116.3501703,39.9222812
35,116.3499229,39.9277429
36,116.3493741,39.9402687
37,116.3501458,39.9476852
38,116.3499378,39.9488665
39,116.3490214,39.9542929
40,116.3488127,39.9599117
41,116.347935,39.9763171
42,116.3474887,39.983967
43,116.3636921,39.9744246
44,116.4102914,39.993712
45,116.3945787,39.9933535
46,116.397173,39.9920935
47,116.3991379,39.9908431
48,116.394698,39.9885124
49,116.3971886,39.9932535
50,116.3972082,39.9886984
51,116.3640579,39.9859264
52,116.4040694,39.9870136
53,116.4186384,39.9874324
54,116.4289147,39.9877395
55,116.4416847,39.9840231
56,116.4581358,39.9732944
57,116.4688949,39.9662384
58,116.4804559,39.9581211
59,116.4813134,39.9570747
60,116.4832531,39.9534269
61,116.4836719,39.9516501
62,116.4839581,39.940583
63,116.4839598,39.9329073
64,116.483962,39.9319696
65,116.2686859,39.919551
66,116.2682644,39.9206764
67,116.4020469,39.9476009
68,116.4053914,39.9476591
69,116.4053672,39.9477768
70,116.4165705,39.9480455
71,116.4262973,39.9476782
72,116.4261777,39.9478776
73,116.4206977,39.9071039
74,116.434823,39.9072277
75,116.4441203,39.9071643
76,116.4005425,39.9116148
77,116.4047536,39.9171376
78,116.404961,39.9140711
79,116.3955127,39.9137358
80,116.3967258,39.913772
81,116.4004361,39.9138882
82,116.4116106,39.9141866
83,116.4203698,39.9141931
84,116.4113816,39.9173925
85,116.4478707,39.955964
86,116.4485462,39.9553376
87,116.4487223,39.9560376
88,116.4487511,39.9567641
89,116.4501915,39.9580911
90,116.4511862,39.9591635
91,116.4473024,39.9556562
92,116.44782,39.9566013
93,116.4472,39.9563266
94,116.4467396,39.9557935
95,116.4466766,39.9573286
96,116.4468006,39.9574926
97,116.4475454,39.9569986
98,116.448104,39.9566269
99,116.4488182,39.956176
100,116.4496575,39.9563106
101,116.4507311,39.9551084
102,116.4500555,39.9555826
103,116.4069946,39.9205425
104,116.4134008,39.9212191
105,116.4205538,39.910715
106,116.4204506,39.912862
107,116.4201576,39.9177719
108,116.4200322,39.9205644
109,116.3882619,39.9812361
110,116.391715,39.9809118
111,116.394445,39.981022
112,116.4011781,39.9816984
113,116.4039799,39.981761
114,116.3995911,39.9830139
115,116.3995806,39.9820623
116,116.3939967,39.9814223
117,116.3921462,39.9813649
118,116.3892595,39.9820764
119,116.3902216,39.9844764
120,116.3946725,39.9860199
121,116.3953726,39.9859848
122,116.3677552,39.9472964
123,116.3677607,39.9474146
124,116.375946,39.9475266
125,116.3980371,39.9477018
126,116.3640238,39.9468325
127,116.3504397,39.9421011
128,116.4278304,39.9322826
129,116.4282483,39.9230583
130,116.429338,39.9096974
131,116.420821,39.9036864
132,116.3912467,39.8974772
133,116.3934635,39.8982538
134,116.3985895,39.8992743
135,116.4004262,39.8993163
136,116.4054759,39.8994584
137,116.4108863,39.9321558
138,116.4195114,39.9322266
139,116.427141,39.932228
140,116.4276179,39.93185
141,116.4282077,39.9318646
142,116.4286887,39.9322374
143,116.4281253,39.9327499
144,116.4275845,39.9327367
145,116.4025943,39.9319029
146,116.4022176,39.9394693
147,116.3897402,39.9387626
148,116.4024032,39.9363904
149,116.3086064,39.9311234
150,116.3137272,39.9311044
151,116.3275909,39.9311142
152,116.3332555,39.9311185
